Player,Age,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Year,Fantasy_Points
A.J. Brown*,23,14,12,106,70,0.66,1075,15.4,11,55,0.613,73,10.1,5.0,76.8,2,2020,173.5
A.J. Brown*,25,17,16,145,88,0.607,1496,17.0,11,59,0.517,78,10.3,5.2,88.0,2,2022,215.6
A.J. Brown*,26,17,17,158,106,0.671,1456,13.7,7,70,0.563,59,9.2,6.2,85.6,2,2023,187.6
Adam Thielen,31,13,13,95,67,0.705,726,10.8,10,37,0.505,35,7.6,5.2,55.8,1,2021,132.6
Adam Thielen,32,17,17,107,70,0.654,716,10.2,6,45,0.495,36,6.7,4.1,42.1,0,2022,107.6
Adam Thielen,33,17,17,137,103,0.752,1014,9.8,4,56,0.584,32,7.4,6.1,59.6,2,2023,125.4
Amari Cooper,26,16,15,130,92,0.708,1114,12.1,5,54,0.631,69,8.6,5.8,69.6,0,2020,141.4
Amari Cooper,27,15,14,104,68,0.654,865,12.7,8,45,0.538,41,8.3,4.5,57.7,1,2021,134.5
Amari Cooper,28,17,17,132,78,0.591,1160,14.9,9,61,0.53,55,8.8,4.6,68.2,0,2022,170.0
Amari Cooper*,24,15,15,107,75,0.701,1005,13.4,7,53,0.626,90,9.4,5.0,67.0,2,2018,142.5
Amari Cooper*,25,16,16,119,79,0.664,1189,15.1,8,54,0.63,53,10.0,4.9,74.3,0,2019,166.9
Amari Cooper*,29,15,15,128,72,0.563,1250,17.4,5,50,0.531,75,9.8,4.8,83.3,2,2023,155.0
Austin Ekeler,24,16,8,108,92,0.852,993,10.8,8,42,0.565,84,9.2,5.8,62.1,3,2019,147.3
Austin Ekeler,26,16,16,94,70,0.745,647,9.2,8,31,0.532,40,6.9,4.4,40.4,4,2021,112.7
Austin Ekeler,27,17,17,127,107,0.843,722,6.7,5,36,0.48,23,5.7,6.3,42.5,5,2022,102.2
Brandin Cooks,27,15,15,119,81,0.681,1150,14.2,6,51,0.613,57,9.7,5.4,76.7,0,2020,151.0
Brandin Cooks,28,16,16,134,90,0.672,1037,11.5,6,45,0.537,52,7.7,5.6,64.8,0,2021,139.7
Brandin Cooks,30,16,15,81,54,0.667,657,12.2,8,38,0.593,37,8.1,3.4,41.1,1,2023,113.7
Brandon Aiyuk,23,17,16,84,56,0.667,826,14.8,5,37,0.607,43,9.8,3.3,48.6,2,2021,112.6
Brandon Aiyuk,24,17,17,114,78,0.684,1015,13.0,8,47,0.596,54,8.9,4.6,59.7,1,2022,149.5
Brandon Aiyuk,25,16,16,105,75,0.714,1342,17.9,7,61,0.705,76,12.8,4.7,83.9,1,2023,176.2
Calvin Ridley,25,13,10,93,63,0.677,866,13.7,7,47,0.591,36,9.3,4.8,66.6,0,2019,128.6
Calvin Ridley,26,15,15,143,90,0.629,1374,15.3,9,65,0.566,63,9.6,6.0,91.6,1,2020,191.4
Calvin Ridley,29,17,17,136,76,0.559,1016,13.4,8,49,0.485,59,7.5,4.5,59.8,1,2023,149.6
Chris Godwin,25,14,14,127,98,0.772,1103,11.3,5,55,0.638,44,8.7,7.0,78.8,2,2021,140.3
Chris Godwin,26,15,13,142,104,0.732,1023,9.8,3,53,0.606,44,7.2,6.9,68.2,2,2022,120.3
Chris Godwin,27,17,17,130,83,0.638,1024,12.3,2,53,0.5,47,7.9,4.9,60.2,0,2023,114.4
Cooper Kupp,27,15,12,124,92,0.742,974,10.6,3,45,0.597,55,7.9,6.1,64.9,1,2020,115.4
